dialect	durnorm_Lobanov	syl_sd	f0norm_Lobanov	f0median	f0peak	f0min	f0sd	f0skewness	f0SAQ	f0rate	f0peak_rate	f0min_rate	f0cv	df0mean	df0mean_pos	df0mean_neg	df0sd	df0sd_pos	df0sd_neg	df0skewness	spect_emphasis	sl_LTAS_breath	sl_LTAS_alpha	sl_LTAS_L1L0	cvint	jitter	shimmer	hnr	pause_sd	pause_meandur	pause_rate	speech_rate	artic_rate
SP	0.71	1689.99	2.47	96.59	101.27	95.61	2.30	0.60	2.46	8.63	4.32	4.32	0.02	-3.58	1.07	-4.38	6.14	0.46	6.32	-1.58	4.01	-33.9	-12.4	-0.7	18.55	2.18	12.61	11.93	743.38	721.67	0.40	0.66	3.82
SP	1.02	246.70	0.70	96.63	104.00	92.88	3.13	0.33	2.16	2.98	1.61	1.38	0.03	-0.04	7.08	-8.40	11.00	7.33	8.39	0.06	4.45	-29.4	-9.1	2.6	19.40	1.43	8.72	12.65	766.18	724.12	0.41	4.20	4.05
SP	0.71	1110.16	3.80	96.71	99.35	94.54	1.59	0.09	1.50	5.00	2.50	2.50	0.02	-3.06	15.32	-6.93	10.77	6.31	6.65	0.66	3.99	-37.7	-14.1	-0.3	17.46	1.77	12.19	12.37	770.25	711.33	0.40	0.92	4.03
SP	0.12	124.40	0.19	96.63	104.00	90.89	3.32	0.09	2.15	7.06	3.53	3.53	0.03	0.14	6.07	-9.73	9.77	5.44	7.00	-0.34	7.00	-26.4	-9.1	-3.1	16.79	1.91	9.35	11.43	797.44	725.00	0.39	6.08	4.23
SP	-0.51	1392.01	3.39	95.81	98.60	94.12	1.36	0.13	0.98	2.76	1.10	1.66	0.01	-0.98	3.20	-2.59	4.30	1.48	3.93	-0.95	8.20	-32.5	-12.8	-4.4	20.96	2.25	10.84	12.30	544.38	653.64	0.42	1.02	3.54
SP	0.09	243.67	1.91	94.90	106.85	90.34	3.54	0.01	2.09	6.99	3.50	3.50	0.04	3.65	16.75	-3.99	11.27	7.31	3.13	0.79	4.09	-36.6	-19.4	1.2	15.39	4.23	11.62	13.24	565.95	712.22	0.40	3.36	4.01
SP	0.09	0	0.45	98.64	103.34	88.81	5.22	-0.22	4.99	3.97	1.99	1.99	0.05	-6.10	5.63	-9.67	11.56	3.30	10.77	-0.75	8.97	-27.4	-11.1	-8.2	16.71	2.38	6.78	11.26	604.20	807.14	0.36	1.27	4.13
SP	-0.39	631.22	3.27	95.11	97.30	91.38	1.31	-0.08	0.86	4.14	2.07	2.07	0.01	0.75	10.89	-4.88	9.89	6.73	6.12	0.27	7.18	-30.1	-9.5	-1.6	14.72	2.53	9.95	10.31	591.97	705.00	0.32	1.26	4.24
SP	-0.25	114.01	0.58	95.15	99.91	82.71	2.87	-0.09	1.62	5.59	2.80	2.80	0.03	0.62	7.67	-10.18	10.75	4.16	8.54	-1.05	4.26	-28.9	-15.0	1.4	13.01	2.26	11.10	11.88	638.96	768.00	0.31	5.60	4.71
SP	-0.49	161.81	0.41	99.24	102.46	91.14	2.69	-0.38	1.84	6.00	3.12	2.88	0.03	-1.45	10.09	-6.15	12.05	12.86	7.89	1.17	7.53	-30.0	-12.3	-9.4	18.40	2.53	12.56	11.05	712.29	842.50	0.37	5.57	4.25
SP	-0.14	648.17	5.15	100.32	102.66	97.65	1.87	-0.02	1.93	5.76	2.88	2.88	0.02	2.69	7.82	-1.42	5.34	3.32	1.92	0.34	9.60	-28.9	-8.3	-10.8	18.70	1.53	9.82	13.92	890.95	1010.00	0.27	2.44	3.70
SP	-0.30	164.67	0.11	96.49	100.41	84.12	3.80	-0.38	2.34	4.24	2.12	2.12	0.04	-2.05	3.72	-12.30	9.18	0.92	8.23	-1.40	12.11	-23.4	-1.6	-3.0	18.61	2.37	10.74	8.68	0	1640.00	0.20	5.00	5.31
SP	-0.40	787.20	14.94	106.30	106.71	106.10	0.20	0.22	0.13	2.02	1.01	1.01	0.002	-0.03	2.50	-0.22	0.95	2.00	0.44	3.19	0.16	-27.3	-22.9	20.1	316.10	9.75	22.47	-20.00	0	0	0	2.06	2.06
