AUDIOFILE	DIALECT	SPEAKER	SEX	CHUNK	f0sd	f0SAQ	df0mean_pos	df0sd_pos	sl_LTAS_alpha	cvint	pause_sd	pause_meandur	pause_rate
PBAMAS002.wav	PB	pb07	MAS	CH5	5.07	3.91	8.08	2.87	-23.5	38.49	590.11	980.00	0.22
PBAMAS002.wav	PB	pb07	MAS	CH6	2.94	0.82	23.67	16.90	-25.5	43.06	537.65	1103.33	0.19
PBAMAS002.wav	PB	pb07	MAS	CH7	1.52	1.34	5.79	3.14	-21.8	23.96	284.60	910.00	0.17
PBAMAS002.wav	PB	pb07	MAS	CH8	2.74	2.13	4.31	3.91	-23.3	31.89	274.47	980.00	0.15
PBAMAS002.wav	PB	pb07	MAS	CH9	2.03	1.23	4.53	2.41	-19.2	35.91	238.61	883.33	0.18
PBAMAS002.wav	PB	pb07	MAS	CH10	0.04	0.03	0.29	0.0006	-12.9	41.74	325.27	920.00	0.26
PBAMAS002.wav	PB	pb07	MAS	CH11	0.82	0.80	0.69	0.35	-21.6	43.75	1150.00	1150.00	0.13
PBAMAS002.wav	PB	pb07	MAS	CH12	3.31	1.85	4.91	3.10	-24.3	29.13	0	0	0
PBAMAS002.wav	PB	pb07	MAS	CH13	2.23	1.59	3.99	3.32	-19.7	28.74	230.94	350.73	0.40
PBAMAS002.wav	PB	pb07	MAS	CH14	3.63	2.53	10.08	10.48	-18.3	91.08	230.93	346.48	0.40
PBAMAS002.wav	PB	pb07	MAS	CH15	3.50	2.54	10.21	10.71	-16.1	23.71	225.10	338.30	0.40
PBAMAS002.wav	PB	pb07	MAS	CH16	2.10	1.22	2.47	2.48	-15.1	21.32	219.34	330.19	0.41
PBAMAS002.wav	PB	pb07	MAS	CH17	2.67	2.01	4.87	2.71	-13.8	23.97	219.36	333.20	0.41
PBAMAS002.wav	PB	pb07	MAS	CH18	1.23	0.72	1.66	0	-36.8	23.29	221.09	331.02	0.41
PBAMAS002.wav	PB	pb07	MAS	CH19	2.05	1.59	11.45	7.46	-32.4	30.10	221.69	327.08	0.40
PBAMAS002.wav	PB	pb07	MAS	CH20	4.10	2.39	4.60	4.85	-15.4	17.65	224.03	326.38	0.39
PBAMAS002.wav	PB	pb07	MAS	CH21	2.80	2.18	7.16	4.21	-18.5	25.66	225.11	329.56	0.40
PBAMAS002.wav	PB	pb07	MAS	CH22	2.79	2.36	6.11	2.88	-15.6	34.85	231.33	329.29	0.38
PBAMAS002.wav	PB	pb07	MAS	CH23	3.47	2.54	4.39	3.48	-15.4	22.35	232.61	325.12	0.38
PBAMAS003.wav	PB	pb08	MAS	CH1	1.88	1.25	2.82	2.59	-18.7	43.56	232.28	331.32	0.39
PBAMAS003.wav	PB	pb08	MAS	CH2	3.26	1.56	2.32	2.20	-15.0	29.59	244.08	344.85	0.39
PBAMAS003.wav	PB	pb08	MAS	CH3	3.34	2.21	5.19	3.46	-17.5	19.37	247.23	343.87	0.38
PBAMAS003.wav	PB	pb08	MAS	CH4	2.14	2.12	2.64	1.24	-18.7	25.97	258.34	356.30	0.39
PBAMAS003.wav	PB	pb08	MAS	CH5	4.43	0.74	8.16	13.37	-16.8	15.22	261.73	367.60	0.38
PBAMAS003.wav	PB	pb08	MAS	CH6	4.08	3.70	6.77	7.42	-17.8	26.06	267.36	367.50	0.38
PBAMAS003.wav	PB	pb08	MAS	CH7	0.55	0.45	1.48	0.65	-15.2	29.67	293.14	370.50	0.38
PBAMAS003.wav	PB	pb08	MAS	CH8	1.47	0.69	2.12	1.63	-14.0	24.88	299.78	364.21	0.37
PBAMAS003.wav	PB	pb08	MAS	CH9	3.84	2.60	7.26	7.34	-19.5	17.76	315.80	372.35	0.35
PBAMAS003.wav	PB	pb08	MAS	CH10	3.53	1.64	10.84	13.28	-17.5	17.98	340.39	411.54	0.34
PBAMAS003.wav	PB	pb08	MAS	CH11	2.03	1.56	5.35	3.03	-20.6	32.75	355.16	415.83	0.35
PBAMAS003.wav	PB	pb08	MAS	CH12	1.81	0.94	6.61	5.80	-21.0	35.78	412.63	441.11	0.30
PBAMAS003.wav	PB	pb08	MAS	CH13	3.72	2.84	3.27	3.29	-23.1	34.95	276.70	345.71	0.25
PBAMAS003.wav	PB	pb08	MAS	CH14	1.94	0.99	6.81	8.01	-18.6	24.62	301.51	335.00	0.25
PBAMAS003.wav	PB	pb08	MAS	CH15	3.24	2.47	7.41	6.11	-17.3	17.55	323.19	300.00	0.23
PBAMAS003.wav	PB	pb08	MAS	CH16	2.96	1.41	5.31	7.43	-18.0	80.17	402.04	316.67	0.21
PBAMAS003.wav	PB	pb08	MAS	CH17	3.83	3.26	5.32	6.71	-22.1	14.48	60.00	60.00	0.12
PBAMAS003.wav	PB	pb08	MAS	CH18	0.83	0.53	0.98	0.82	-22.2	36.81	553.82	542.99	0.34
PBAMAS003.wav	PB	pb08	MAS	CH19	1.23	0.75	1.14	0.98	-19.7	18.30	552.56	544.82	0.34
PBAMAS003.wav	PB	pb08	MAS	CH20	0.73	0.55	1.00	0.60	-18.0	29.93	556.35	553.09	0.35
PBAMAS003.wav	PB	pb08	MAS	CH21	1.07	0.81	2.00	1.17	-22.1	37.16	562.29	558.48	0.35
PBAMAS003.wav	PB	pb08	MAS	CH22	0.89	0.51	0.62	0.43	-25.7	50.45	565.74	560.13	0.35
PBAMAS003.wav	PB	pb08	MAS	CH23	1.13	0.74	1.43	1.04	-23.4	26.33	501.30	529.74	0.35
PBAMAS004.wav	PB	pb09	MAS	CH1	1.64	1.44	2.30	1.48	-22.2	17.36	509.40	545.75	0.36
PBAMAS004.wav	PB	pb09	MAS	CH2	2.04	0.98	2.35	4.22	-25.9	42.42	512.54	548.19	0.36
PBAMAS004.wav	PB	pb09	MAS	CH3	1.69	0.92	1.64	2.91	-22.5	30.00	478.34	532.29	0.36
